"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-01","0.00","0.0","0.0","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-02","0.00","0.0","0.0","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-03","0.94","0.0","0.0","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-04","0.47","0.0","0.0","47"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-05","0.00","0.0","0.0","43"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-06","0.07","1.1","0.0","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-07","0.00","0.0","1.2","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-08","0.00","0.0","0.0","14"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-09","0.07","1.3","0.0","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-10","0.00","0.0","1.2","22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-11","0.00","0.0","1.2","26"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-12","0.70","0.0","0.0","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-13","0.00","0.0","0.0","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-14","0.00","0.0","0.0","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-15","0.00","0.0","0.0","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-16","0.00","0.0","0.0","34"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-17","0.00","0.0","0.0","23"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-18","1.62","0.0","0.0","36"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-19","0.00","0.0","0.0","40"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-20","0.00","0.0","0.0","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-21","0.00","0.0","0.0","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-22","0.00","0.0","0.0","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-23","0.00","0.0","0.0","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-24","0.75","3.4","3.1","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-25","0.00","0.0","0.0","39"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-26","0.33","5.1","0.0","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-27","0.31","5.6","9.1","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-28","0.00","0.0","9.8","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-29","0.01","0.0","9.1","25"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-30","0.04","0.6","9.1","35"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-31","0.00","0.0","7.1","21"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-01","0.03","0.3","7.1","27"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-02","1.18","4.2","7.9","32"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-03","0.00","0.0","7.9","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-04","0.00","0.0","7.9","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-05","0.00","0.1","5.1","33"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-06","0.00","0.0","5.1","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-07","0.00","0.0","3.9","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-08","0.00","0.0","3.9","37"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-09","0.14","0.1","2.0","28"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-10","0.00","0.0","2.0","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-11","0.00","0.0","2.0","30"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-12","0.00","0.0","1.2","31"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-13","0.00","0.0","1.2","19"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-14","0.01","0.4","1.2","24"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-15","0.01","0.3","1.2","21"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-16","0.00","0.0","1.2","11"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-17","0.19","3.5","3.9","20"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-18","0.00","0.0","3.1","23"
