Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION,ratings,Awards,Box Office,Director,Genre,Language,Plot,Poster,Rated,Runtime,imdbID,imdbVotes
*batteries not included,1987,%2Abatteries%20not%20included,batteriesnotincluded_pf,Courtesy of Photofest,Directed by,Matthew Robbins,http://imdb.com/name/nm0730422/,E. 5th St.<br>East Village<br>Manhattan,40.7224453,-73.97865057,Manhattan,East Village,0,Film,http://imdb.com/title/tt0092494/,0,0,Y,190,0,Y,6.7,2 wins & 1 nomination.,N/A,Matthew Robbins,"Comedy, Family, Fantasy, Sci-Fi",0.0,Aliens help a feisty old New York couple in their battle against the ruthless land developer who's out to evict them.,https://m.media-amazon.com/images/M/MV5BM2JlMDgxOTYtNmI2My00YzY1LWIyZTgtYzY0MjY3Y2RiZmY2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,PG,106 min,tt0092494,"31,122"
12 Angry Men,1957,12%20Angry%20Men,12AngryMen_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/,New York County Courthouse<br>40 Foley Square<br>Lower Manhattan,40.7137,-74.0079,Manhattan,Lower Manhattan,0,Film,http://imdb.com/title/tt0050083/,"New York County
Courthouse on Foley Square.",0,Y,40,0,Y,9.0,Nominated for 3 Oscars. Another 17 wins & 10 nominations.,N/A,Sidney Lumet,"Crime, Drama",0.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Approved,96 min,tt0050083,"682,907"
13 Going on 30,2004,13%20Going%20on%2030,13Goingon30_ec,"Courtesy of Everett Collection, Inc.",Directed by,Gary Winick,http://imdb.com/name/nm0935095/,W. 47th St. and Seventh Ave.<br>Times Square<br>Manhattan,40.75922049,-73.98462117,Manhattan,Times Square,0,Film,http://www.imdb.com/title/tt0337563/,"47th St. and 7th Ave. Times Square
Manhattan",0,Y,239,0,Y,6.2,11 nominations.,N/A,Gary Winick,"Comedy, Fantasy, Romance",0.0,"A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.",https://m.media-amazon.com/images/M/MV5BMjE1NzI5NTkwMF5BMl5BanBnXkFtZTYwOTA4NzY2._V1_SX300.jpg,PG-13,98 min,tt0337563,"165,280"
15 Minutes,2001,15%20Minutes,0,0,Directed by,John Herzfeld,http://imdb.com/name/nm0381273/,E. 60-66th St. and Madison Ave.<br>Upper East Side<br>Manhattan,40.7661,-73.9696,Manhattan,Upper East Side,Chases,Film,http://www.imdb.com/title/tt0179626/,60-66th and Madison,0,Y,82,0,N,6.1,1 nomination.,"$24,403,552",John Herzfeld,"Action, Crime, Drama, Thriller",0.0,A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.,https://m.media-amazon.com/images/M/MV5BMTI3MzQ1MzIwNl5BMl5BanBnXkFtZTYwMTAxODc5._V1_SX300.jpg,R,120 min,tt0179626,"48,253"
25th Hour,2002,25th%20Hour,25thHour1_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,World Trade Center<br>Lower Manhattan,40.71179263,-74.01232839,Manhattan,Lower Manhattan,0,Film,http://www.imdb.com/title/tt0307901/,World Trade Center,0,Y,93,0,Y,7.6,Nominated for 1 Golden Globe. Another 4 wins & 16 nominations.,"$13,084,595",Spike Lee,Drama,0.0,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",https://m.media-amazon.com/images/M/MV5BNmE0YjdlYTktMTU4Ni00Mjk2LWI3NWMtM2RjNmFiOTk4YjYxL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,R,135 min,tt0307901,"169,256"
25th Hour,2002,25th%20Hour,25thHour2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Carl Schurz Park<br>Upper East Side<br>Manhattan,40.77506559,-73.94312739,Manhattan,Upper East Side,0,Film,http://www.imdb.com/title/tt0307901/,Carl Schurz Park btwn 84th and 85th and promenade,0,Y,209,0,Y,7.6,Nominated for 1 Golden Globe. Another 4 wins & 16 nominations.,"$13,084,595",Spike Lee,Drama,0.0,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",https://m.media-amazon.com/images/M/MV5BNmE0YjdlYTktMTU4Ni00Mjk2LWI3NWMtM2RjNmFiOTk4YjYxL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,R,135 min,tt0307901,"169,256"
A Perfect Murder,1998,A%20Perfect%20Murder,0,0,Directed by,Andrew Davis,http://imdb.com/name/nm0001112/,Long Island City,40.74607025,-73.95038009,Queens,Queens,0,Film,http://www.imdb.com/title/tt0120787/,Long Island City,0,Y,141,N,N,6.5,2 wins & 3 nominations.,"$67,638,368",Andrew Davis,"Crime, Drama, Thriller",0.0,"A wealthy Wall Street speculator discovers that his wife has a lover. He investigates him and uses the carrot and stick to make him murder his wife. Planned to detail, it seems like a perfect murder.",https://m.media-amazon.com/images/M/MV5BMTcwODQxNTEyN15BMl5BanBnXkFtZTYwNTE3NzI3._V1_SX300.jpg,R,107 min,tt0120787,"79,011"
A Thousand Clowns,1965,A%20Thousand%20Clowns,AThousandClowns_pf,Courtesy of Photofest,Directed by,Fred Coe,http://imdb.com/name/nm0168641/,Statue of Liberty<br>Liberty Island<br>New York Harbor,40.68958731,-74.04379606,Manhattan,New York Harbor,0,Film,http://www.imdb.com/title/tt0059798/,"Statue of Liberty, Liberty Island, New York Harbor",poor quality,Y,51,0,Y,7.4,Won 1 Oscar. Another 3 wins & 7 nominations.,N/A,Fred Coe,"Comedy, Drama, Romance",0.0,"A middle-aged iconoclast, doggedly avoiding the tedium of employment and conventional life, faces the prospect of losing custody of his young ward.",https://m.media-amazon.com/images/M/MV5BZDQyOTA4ZTItYzJhMy00ZjA0LWEwYWEtYTdhNGE1ZDgxOWNiXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Unrated,118 min,tt0059798,"3,154"
Across the Sea of Time,1997,Across%20the%20Sea%20of%20Time,AcrossTheSeaOfTime_pf,Courtesy of Photofest,Directed by,Stephen Low,http://imdb.com/name/nm0522844/,New York Harbor,40.69899091,-74.03849602,Manhattan,New York Harbor,0,Film,http://imdb.com/title/tt0112286/,0,0,Y,0,0,Y,6.0,N/A,N/A,Stephen Low,"Adventure, Drama, Family, History",0.0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",https://m.media-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_SX300.jpg,G,51 min,tt0112286,234
After Hours,1985,After%20Hours,0,0,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/,Mercer and Grand<br>SoHo<br>Manhattan,40.7213,-74.0015,Manhattan,SoHo,0,Film,http://www.imdb.com/title/tt0088680/,SoHo,0,Y,154,N,N,7.7,Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,N/A,Martin Scorsese,"Comedy, Crime, Drama, Thriller",0.0,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,https://m.media-amazon.com/images/M/MV5BMTUxMjEzMzI2MV5BMl5BanBnXkFtZTgwNTU3ODAxMDE@._V1_SX300.jpg,R,97 min,tt0088680,"57,533"
