id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,latitude,longitude,categories_list,coordinates_list
b6jOwyX4iaagw8YjXqq1sA,antonios-trattoria-bronx,Antonio's Trattoria,https://s3-media3.fl.yelpcdn.com/bphoto/VnG_keQUb8r3ImEx4iInMw/o.jpg,False,https://www.yelp.com/biz/antonios-trattoria-bronx?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,819,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 40.854131, 'longitude': -73.886601}","['pickup', 'delivery']",$$,"{'address1': '2370 Belmont Ave', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10458', 'country': 'US', 'state': 'NY', 'display_address': ['2370 Belmont Ave', 'Bronx, NY 10458']}",+17187336630,(718) 733-6630,2321.0568823979,40.854131,-73.886601,"['Italian', 'Pizza', 'Desserts']","[40.854131, -73.886601]"
2iqsjuh8Mpm_3p6s-G9zkQ,taqueria-tlaxcalli-bronx-3,Taqueria Tlaxcalli,https://s3-media3.fl.yelpcdn.com/bphoto/zfErzeppZ43-1laa0LAW-g/o.jpg,False,https://www.yelp.com/biz/taqueria-tlaxcalli-bronx-3?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,629,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 40.83624, 'longitude': -73.854962}","['delivery', 'pickup']",$$,"{'address1': '2103 Starling Ave', 'address2': '', 'address3': None, 'city': 'Bronx', 'zip_code': '10462', 'country': 'US', 'state': 'NY', 'display_address': ['2103 Starling Ave', 'Bronx, NY 10462']}",+13478513085,(347) 851-3085,3849.2861283147004,40.836240000000004,-73.854962,['Mexican'],"[40.83624, -73.854962]"
oC-BU83Ag-vlVBcjlwxUZw,pepes-place-new-rochelle,Pepe's Place,https://s3-media1.fl.yelpcdn.com/bphoto/RUcYNW2unl-p_ZRQQiPRvg/o.jpg,False,https://www.yelp.com/biz/pepes-place-new-rochelle?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,393,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.5,"{'latitude': 40.9209170900794, 'longitude': -73.7875532358885}","['pickup', 'delivery']","{'address1': '560 North Ave', 'address2': '', 'address3': '', 'city': 'New Rochelle', 'zip_code': '10801', 'country': 'US', 'state': 'NY', 'display_address': ['560 North Ave', 'New Rochelle, NY 10801']}",+19146327373,(914) 632-7373,8555.714093578477,$$,40.9209170900794,-73.7875532358885,"['Seafood', 'Fish & Chips', 'Soul Food']","[40.9209170900794, -73.7875532358885]"
Kg1OqaEPNFFL5FuqnALdWQ,davids-brisket-house-and-deli-brooklyn,David's Brisket House and Deli,https://s3-media2.fl.yelpcdn.com/bphoto/1zevDwN9w9PpQAAqUN1xyg/o.jpg,False,https://www.yelp.com/biz/davids-brisket-house-and-deli-brooklyn?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,454,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"{'latitude': 40.679434, 'longitude': -73.949515}","['pickup', 'delivery']","{'address1': '533 Nostrand Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11216', 'country': 'US', 'state': 'NY', 'display_address': ['533 Nostrand Ave', 'Brooklyn, NY 11216']}",+17187891155,(718) 789-1155,261.6335817901836,$$,40.679434,-73.949515,"['Burgers', 'Desserts']","[40.679434, -73.949515]"
YzyHW3w0HUyaG8EvplNT1A,lius-shanghai-brooklyn-2,Liu's Shanghai,https://s3-media2.fl.yelpcdn.com/bphoto/9mrTfDfCFSytiutwOt7AAw/o.jpg,False,https://www.yelp.com/biz/lius-shanghai-brooklyn-2?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,383,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}]",4.5,"{'latitude': 40.6026411895768, 'longitude': -74.0038766549142}",[],"{'address1': '1869 Bath Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11214', 'country': 'US', 'state': 'NY', 'display_address': ['1869 Bath Ave', 'Brooklyn, NY 11214']}",+17182566868,(718) 256-6868,678.4223102138083,$$,40.6026411895768,-74.00387665491421,['Shanghainese'],"[40.6026411895768, -74.0038766549142]"
oqou7SVSTIx7No6AJKSizw,lioni-italian-heroes-brooklyn-2,Lioni Italian Heroes,https://s3-media4.fl.yelpcdn.com/bphoto/kdYxSgoCwJ9lRbqzidAOaQ/o.jpg,False,https://www.yelp.com/biz/lioni-italian-heroes-brooklyn-2?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,377,"[{'alias': 'cheese', 'title': 'Cheese Shops'}, {'alias': 'delis', 'title': 'Delis'}]",4.5,"{'latitude': 40.61572, 'longitude': -74.00482}","['delivery', 'pickup']","{'address1': '7803 15th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11228', 'country': 'US', 'state': 'NY', 'display_address': ['7803 15th Ave', 'Brooklyn, NY 11228']}",+17182321411,(718) 232-1411,656.2135254332146,$$,40.61572,-74.00482,"['Cheese Shops', 'Delis']","[40.61572, -74.00482]"
O-zwQQV8AExgdPoJiqjpDg,ba-xuyen-brooklyn-2,Ba Xuyen,https://s3-media2.fl.yelpcdn.com/bphoto/FKV2w1LSBimODfXYXHXVrw/o.jpg,False,https://www.yelp.com/biz/ba-xuyen-brooklyn-2?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,689,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.64528, 'longitude': -73.9997099}",[],"{'address1': '4222 8th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11232', 'country': 'US', 'state': 'NY', 'display_address': ['4222 8th Ave', 'Brooklyn, NY 11232']}",+17186336601,(718) 633-6601,3372.570933533196,$,40.64528,-73.9997099,"['Vietnamese', 'Sandwiches']","[40.64528, -73.9997099]"
OOoua3Q6PfqtImv3DjdcWw,parlay-sunset-park,Parlay,https://s3-media4.fl.yelpcdn.com/bphoto/kiBwiW7tuOkECU2jCDavGg/o.jpg,False,https://www.yelp.com/biz/parlay-sunset-park?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,411,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.5,"{'latitude': 40.6464, 'longitude': -73.99862}",[],"{'address1': '4024 8th Ave', 'address2': '', 'address3': '', 'city': 'Sunset Park', 'zip_code': '11232', 'country': 'US', 'state': 'NY', 'display_address': ['4024 8th Ave', 'Sunset Park, NY 11232']}",,,1452.8996512605584,$$,40.6464,-73.99861999999999,"['American (New)', 'Breakfast & Brunch', 'Sandwiches']","[40.6464, -73.99862]"
9WgsvzaiXNAmmQGD0uQxFQ,thai-holic-brooklyn,Thai Holic,https://s3-media4.fl.yelpcdn.com/bphoto/iUqXan4GX7zWw8U7agjZBQ/o.jpg,False,https://www.yelp.com/biz/thai-holic-brooklyn?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,450,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"{'latitude': 40.693005, 'longitude': -73.971286}","['delivery', 'pickup']","{'address1': '372 Myrtle Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11205', 'country': 'US', 'state': 'NY', 'display_address': ['372 Myrtle Ave', 'Brooklyn, NY 11205']}",+17182229992,(718) 222-9992,595.4004444810762,$$,40.693005,-73.97128599999999,"['Thai', 'Salad']","[40.693005, -73.971286]"
PiDidGDx15RYgiQFKeFZSg,athena-mediterranean-cuisine-brooklyn-3,Athena Mediterranean Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/d9wCNJ3atQC2FzXUgV-ySQ/o.jpg,False,https://www.yelp.com/biz/athena-mediterranean-cuisine-brooklyn-3?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,352,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'greek', 'title': 'Greek'}]",4.5,"{'latitude': 40.66476, 'longitude': -73.98648}","['delivery', 'pickup']",$$,"{'address1': '535 6th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['535 6th Ave', 'Brooklyn, NY 11215']}",+17189654578,(718) 965-4578,313.1443854591443,40.66476,-73.98648,"['Mediterranean', 'Greek']","[40.66476, -73.98648]"
